DATA_TYPE COF
VERSION Tekscan 압력 측정 시스템 7.00-23
HARDWARE 00114-A988
MAP_VERSION 8.0
HW_TYPE 7
VersaPogoFsx 0
VersaV6CuffFsx 1
파일 이름 C:\Tekscan\FScan\Database\MOVIES\이재영\04L.fsx
SENSOR_TYPE FSCAN
ROWS 60
COLS 21
ROW_SPACING 0.508 centimeters
COL_SPACING 0.508 centimeters
SENSEL_AREA 0.258064 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.01
MICRO_SECOND 1
TIME 2021-12-09 5:10:52.432오후
SATURATION_PRESSURE 816.499 KPa 
CALIBRATION_POINT_1 179 (Pounds) 9636 (Raw Sum) 372 (Number of Loaded Cells)
CALIBRATION_MODE_1 단계
CALIBRATION_INFO C:\Tekscan\FScan\Database\MOVIES\이재영\04L.fsx
SENSITIVITY 기본
MAP_INDEX 1
SUBMAP 1
START_FRAME 1
END_FRAME 11770
COMMENTS Frame, Time, (Absolute Time), Row (cm), Col (cm), Raw Sum
ASCII_DATA @@

88, 0.87, 2021-12-09 5:10:53.302오후, 21.49, 5.21, 2782
89, 0.88, 2021-12-09 5:10:53.312오후, 21.44, 5.23, 2796
90, 0.89, 2021-12-09 5:10:53.322오후, 21.46, 5.22, 2787
91, 0.9, 2021-12-09 5:10:53.332오후, 21.38, 5.23, 2795
92, 0.91, 2021-12-09 5:10:53.342오후, 21.39, 5.25, 2776
93, 0.92, 2021-12-09 5:10:53.352오후, 21.35, 5.22, 2776
94, 0.93, 2021-12-09 5:10:53.362오후, 21.29, 5.24, 2782
95, 0.94, 2021-12-09 5:10:53.372오후, 21.33, 5.25, 2769
96, 0.95, 2021-12-09 5:10:53.382오후, 21.34, 5.22, 2764
97, 0.96, 2021-12-09 5:10:53.392오후, 21.33, 5.22, 2767
98, 0.97, 2021-12-09 5:10:53.402오후, 21.31, 5.22, 2768
99, 0.98, 2021-12-09 5:10:53.412오후, 21.33, 5.22, 2762
100, 0.99, 2021-12-09 5:10:53.422오후, 21.31, 5.23, 2768
101, 1, 2021-12-09 5:10:53.432오후, 21.29, 5.23, 2778
102, 1.01, 2021-12-09 5:10:53.442오후, 21.27, 5.23, 2787
103, 1.02, 2021-12-09 5:10:53.452오후, 21.21, 5.25, 2774
104, 1.03, 2021-12-09 5:10:53.462오후, 21.19, 5.25, 2792
105, 1.04, 2021-12-09 5:10:53.472오후, 21.19, 5.26, 2789
106, 1.05, 2021-12-09 5:10:53.482오후, 21.19, 5.26, 2788
107, 1.06, 2021-12-09 5:10:53.492오후, 21.20, 5.24, 2788
108, 1.07, 2021-12-09 5:10:53.502오후, 21.22, 5.25, 2776
109, 1.08, 2021-12-09 5:10:53.512오후, 21.16, 5.26, 2788
110, 1.09, 2021-12-09 5:10:53.522오후, 21.15, 5.21, 2810
111, 1.1, 2021-12-09 5:10:53.532오후, 21.18, 5.23, 2784
112, 1.11, 2021-12-09 5:10:53.542오후, 21.19, 5.24, 2778
113, 1.12, 2021-12-09 5:10:53.552오후, 21.16, 5.25, 2791
114, 1.13, 2021-12-09 5:10:53.562오후, 21.12, 5.22, 2789
115, 1.14, 2021-12-09 5:10:53.572오후, 21.05, 5.23, 2800
116, 1.15, 2021-12-09 5:10:53.582오후, 21.07, 5.26, 2775
117, 1.16, 2021-12-09 5:10:53.592오후, 21.10, 5.24, 2784
118, 1.17, 2021-12-09 5:10:53.602오후, 21.13, 5.23, 2773
119, 1.18, 2021-12-09 5:10:53.612오후, 21.18, 5.21, 2779
120, 1.19, 2021-12-09 5:10:53.622오후, 21.15, 5.22, 2783
121, 1.2, 2021-12-09 5:10:53.632오후, 21.14, 5.21, 2788
122, 1.21, 2021-12-09 5:10:53.642오후, 21.15, 5.21, 2785
123, 1.22, 2021-12-09 5:10:53.652오후, 21.13, 5.23, 2778
124, 1.23, 2021-12-09 5:10:53.662오후, 21.14, 5.24, 2773
125, 1.24, 2021-12-09 5:10:53.672오후, 21.12, 5.23, 2775
126, 1.25, 2021-12-09 5:10:53.682오후, 21.08, 5.22, 2775
127, 1.26, 2021-12-09 5:10:53.692오후, 21.10, 5.22, 2782
128, 1.27, 2021-12-09 5:10:53.702오후, 21.07, 5.22, 2780
129, 1.28, 2021-12-09 5:10:53.712오후, 21.02, 5.23, 2795
130, 1.29, 2021-12-09 5:10:53.722오후, 21.08, 5.23, 2796
131, 1.3, 2021-12-09 5:10:53.732오후, 21.02, 5.24, 2807
132, 1.31, 2021-12-09 5:10:53.742오후, 21.08, 5.24, 2796
133, 1.32, 2021-12-09 5:10:53.752오후, 21.09, 5.24, 2789
134, 1.33, 2021-12-09 5:10:53.762오후, 21.07, 5.25, 2790
135, 1.34, 2021-12-09 5:10:53.772오후, 21.10, 5.23, 2789
136, 1.35, 2021-12-09 5:10:53.782오후, 21.08, 5.25, 2782
137, 1.36, 2021-12-09 5:10:53.792오후, 21.07, 5.25, 2791
138, 1.37, 2021-12-09 5:10:53.802오후, 21.07, 5.25, 2780
139, 1.38, 2021-12-09 5:10:53.812오후, 21.06, 5.24, 2788
140, 1.39, 2021-12-09 5:10:53.822오후, 21.04, 5.24, 2788
141, 1.4, 2021-12-09 5:10:53.832오후, 20.99, 5.24, 2796
142, 1.41, 2021-12-09 5:10:53.842오후, 20.94, 5.24, 2803
143, 1.42, 2021-12-09 5:10:53.852오후, 20.98, 5.23, 2802
144, 1.43, 2021-12-09 5:10:53.862오후, 20.98, 5.23, 2794
145, 1.44, 2021-12-09 5:10:53.872오후, 20.99, 5.23, 2793
146, 1.45, 2021-12-09 5:10:53.882오후, 21.00, 5.23, 2799
147, 1.46, 2021-12-09 5:10:53.892오후, 20.96, 5.23, 2800
148, 1.47, 2021-12-09 5:10:53.902오후, 20.94, 5.23, 2803
149, 1.48, 2021-12-09 5:10:53.912오후, 20.91, 5.24, 2797
150, 1.49, 2021-12-09 5:10:53.922오후, 20.95, 5.24, 2792
151, 1.5, 2021-12-09 5:10:53.932오후, 20.94, 5.23, 2791
152, 1.51, 2021-12-09 5:10:53.942오후, 20.88, 5.24, 2801
153, 1.52, 2021-12-09 5:10:53.952오후, 20.95, 5.25, 2788
154, 1.53, 2021-12-09 5:10:53.962오후, 20.86, 5.23, 2801
155, 1.54, 2021-12-09 5:10:53.972오후, 20.87, 5.23, 2801
156, 1.55, 2021-12-09 5:10:53.982오후, 20.86, 5.24, 2793
157, 1.56, 2021-12-09 5:10:53.992오후, 20.85, 5.24, 2793
158, 1.57, 2021-12-09 5:10:54.002오후, 20.84, 5.23, 2798
159, 1.58, 2021-12-09 5:10:54.012오후, 20.84, 5.26, 2792
160, 1.59, 2021-12-09 5:10:54.022오후, 20.81, 5.26, 2803
161, 1.6, 2021-12-09 5:10:54.032오후, 20.77, 5.27, 2809
162, 1.61, 2021-12-09 5:10:54.042오후, 20.84, 5.27, 2789
163, 1.62, 2021-12-09 5:10:54.052오후, 20.79, 5.28, 2801
164, 1.63, 2021-12-09 5:10:54.062오후, 20.79, 5.28, 2803
165, 1.64, 2021-12-09 5:10:54.072오후, 20.78, 5.27, 2805
166, 1.65, 2021-12-09 5:10:54.082오후, 20.77, 5.26, 2812
167, 1.66, 2021-12-09 5:10:54.092오후, 20.72, 5.27, 2820
168, 1.67, 2021-12-09 5:10:54.102오후, 20.72, 5.27, 2820
169, 1.68, 2021-12-09 5:10:54.112오후, 20.72, 5.27, 2815
170, 1.69, 2021-12-09 5:10:54.122오후, 20.73, 5.26, 2819
171, 1.7, 2021-12-09 5:10:54.132오후, 20.71, 5.27, 2819
172, 1.71, 2021-12-09 5:10:54.142오후, 20.69, 5.26, 2825
173, 1.72, 2021-12-09 5:10:54.152오후, 20.72, 5.26, 2830
174, 1.73, 2021-12-09 5:10:54.162오후, 20.71, 5.26, 2821
175, 1.74, 2021-12-09 5:10:54.172오후, 20.72, 5.26, 2825
176, 1.75, 2021-12-09 5:10:54.182오후, 20.73, 5.27, 2818
177, 1.76, 2021-12-09 5:10:54.192오후, 20.75, 5.25, 2817
178, 1.77, 2021-12-09 5:10:54.202오후, 20.77, 5.25, 2811
179, 1.78, 2021-12-09 5:10:54.212오후, 20.74, 5.24, 2811
180, 1.79, 2021-12-09 5:10:54.222오후, 20.72, 5.24, 2813
181, 1.8, 2021-12-09 5:10:54.232오후, 20.72, 5.25, 2804
182, 1.81, 2021-12-09 5:10:54.242오후, 20.66, 5.24, 2813
183, 1.82, 2021-12-09 5:10:54.252오후, 20.67, 5.23, 2803
184, 1.83, 2021-12-09 5:10:54.262오후, 20.69, 5.24, 2795
185, 1.84, 2021-12-09 5:10:54.272오후, 20.68, 5.24, 2810
186, 1.85, 2021-12-09 5:10:54.282오후, 20.66, 5.25, 2801
187, 1.86, 2021-12-09 5:10:54.292오후, 20.61, 5.23, 2808
188, 1.87, 2021-12-09 5:10:54.302오후, 20.58, 5.23, 2822
189, 1.88, 2021-12-09 5:10:54.312오후, 20.50, 5.23, 2833
190, 1.89, 2021-12-09 5:10:54.322오후, 20.55, 5.23, 2831
191, 1.9, 2021-12-09 5:10:54.332오후, 20.54, 5.23, 2829
192, 1.91, 2021-12-09 5:10:54.342오후, 20.47, 5.19, 2858
193, 1.92, 2021-12-09 5:10:54.352오후, 20.45, 5.19, 2858
194, 1.93, 2021-12-09 5:10:54.362오후, 20.42, 5.20, 2860
195, 1.94, 2021-12-09 5:10:54.372오후, 20.43, 5.20, 2853
196, 1.95, 2021-12-09 5:10:54.382오후, 20.44, 5.20, 2858
197, 1.96, 2021-12-09 5:10:54.392오후, 20.43, 5.19, 2847
198, 1.97, 2021-12-09 5:10:54.402오후, 20.44, 5.20, 2854
199, 1.98, 2021-12-09 5:10:54.412오후, 20.41, 5.19, 2865
200, 1.99, 2021-12-09 5:10:54.422오후, 20.29, 5.20, 2878
201, 2, 2021-12-09 5:10:54.432오후, 20.34, 5.20, 2875
202, 2.01, 2021-12-09 5:10:54.442오후, 20.34, 5.19, 2881
203, 2.02, 2021-12-09 5:10:54.452오후, 20.30, 5.22, 2887
204, 2.03, 2021-12-09 5:10:54.462오후, 20.31, 5.22, 2888
